k,delta_d_mean,delta_d_p16,delta_d_p84
5,0.470806761613075,0.4540107022803721,0.486666835724051
10,0.5601076858688627,0.5501099271870599,0.5682111539792684
15,0.6140291562513127,0.6086554566383963,0.6225354817280179
20,0.6393995563445765,0.6310211535418282,0.6465129873717947
25,0.6190940324371386,0.6110108341082143,0.6261367305446837
30,0.670637375687029,0.6632965608810182,0.6793539281437206
35,0.6648846607728635,0.655427756716842,0.6750977369742176
40,0.6816292203817473,0.673091398131441,0.6919444174865806
45,0.6935603061869295,0.6860229910918861,0.7012059031697485
50,0.7163548993480712,0.7092574374598475,0.7230948594573675
